"name","sent","uniqueOpen","uniqueClick","sentAt"
"Corderito Sherpa - 22/03",16184,"5258","133","22/3/2025"
"HASTA 30% OFF TELAS - 18/03",22366,"9375","345","18/3/2025"
"HASTA 30% OFF ultimas horas - 19/03",22402,"10594","277","19/3/2025"
"Linos - 20/03",16207,"6011","124","21/3/2025"
